Distance (miles),Date,Magnitude,Start Lat/Log,End Lat/Log,Length (mile),Width (yards),Fatalities,Injuries,Property Damage,Crop Damage (K$),Affected County
22.9,6/6/10,2,41°58'N / 83°46'W,41°56'N / 83°31'W,13,800,0,11,50000000,0,Monroe
17.1,9/13/08,2,42°22'N / 83°27'W,42°23'N / 83°24'W,3,200,0,0,250000,0,Wayne
39,10/18/07,2,42°36'N / 84°18'W,42°47'N / 84°12'W,17,300,2,0,15000000,0,Ingham
32.4,8/24/07,2,42°42'N / 84°00'W,42°46'N / 83°45'W,14,440,0,0,7000000,0,Livingston
35.1,8/24/07,2,42°46'N / 83°45'W,42°48'N / 83°40'W,4,440,0,1,13000000,0,Genesee
34.9,8/21/03,2,42°40'N / 84°10'W,42°40'N / 84°10'W,4.5,880,0,2,500000,200,Ingham
29.3,5/21/01,2,42°38'N / 83°46'W,42°46'N / 83°45'W,9.6,200,0,3,3000000,0,Livingston
30.7,7/2/97,2,42°24'N / 83°15'W,42°23'N / 83°03'W,5,2500,0,90,90000000,0,Wayne
12.6,4/16/92,2,42°22'N / 83°31'W,,2,50,0,4,2500000,0,Wayne
25.6,7/7/91,2,42°38'N / 83°36'W,,2.5,50,0,0,250000,0,Oakland
36.6,3/27/91,2,42°27'N / 84°26'W,42°31'N / 84°21'W,5,60,0,0,250000,0,Ingham
31,9/14/90,3,42°29'N / 83°28'W,42°29'N / 82°55'W,24,90,0,0,2500000,0,Oakland
11.9,6/2/90,2,42°19'N / 84°05'W,42°23'N / 83°48'W,15,160,0,0,250000,0,Washtenaw
24.3,8/14/88,2,42°29'N / 84°10'W,42°28'N / 84°05'W,23.3,127,0,0,2500000,0,Livingston
37,8/14/88,2,42°42'N / 84°28'W,42°29'N / 84°10'W,3.3,127,1,0,2500000,0,Ingham
19.7,6/21/87,2,42°29'N / 83°28'W,,0.3,80,1,6,2500000,0,Oakland
42.5,9/29/86,2,42°52'N / 83°48'W,42°55'N / 83°41'W,5.6,400,0,0,250000,0,Genesee
28.8,9/10/86,2,42°35'N / 83°29'W,42°38'N / 83°18'W,7.7,50,0,0,250000,0,Oakland
47,8/26/86,2,42°38'N / 84°34'W,42°39'N / 84°27'W,7.6,50,0,0,250000,0,Ingham
42.9,7/15/85,2,42°44'N / 84°28'W,42°42'N / 84°11'W,15.6,200,0,0,250000,0,Ingham
42.3,9/25/84,2,41°56'N / 84°25'W,,2.1,90,0,2,250000,0,Hillsdale
47.3,8/30/84,2,42°23'N / 83°21'W,43°23'N / 83°15'W,5.6,150,0,4,2500000,0,Wayne
49.4,8/8/84,2,43°00'N / 83°46'W,42°59'N / 83°43'W,3,60,0,0,2500000,0,Genesee
47.2,5/2/83,3,42°27'N / 82°57'W,42°31'N / 82°45'W,10,200,0,0,25000000,0,Macomb
24.5,5/1/83,2,41°58'N / 83°58'W,,2,100,0,0,25000,0,Lenawee
24.6,5/1/83,2,41°59'N / 84°06'W,42°02'N / 84°00'W,5.9,500,0,0,25000,0,Lenawee
30,5/1/83,2,42°00'N / 84°11'W,,1.9,400,0,0,25000,0,Lenawee
14.9,6/15/82,2,42°27'N / 83°53'W,42°29'N / 83°51'W,3.8,80,0,2,25000,0,Livingston
21.7,6/15/82,3,42°24'N / 84°08'W,42°25'N / 84°06'W,3,500,0,0,2500000,0,Washtenaw
27.4,6/15/82,3,42°21'N / 84°22'W,42°24'N / 84°08'W,10,500,1,1,2500000,0,Jackson
27.6,7/16/80,2,42°15'N / 83°13'W,42°15'N / 83°10'W,1.3,33,0,0,25000000,0,Wayne
45.3,4/8/80,2,41°39'N / 83°28'W,,0.8,127,0,2,2500000,0,Lucas
37.8,6/20/79,2,41°44'N / 83°50'W,,0.6,27,0,0,250000,0,Lenawee
46.7,8/19/78,2,42°50'N / 84°15'W,,2,230,0,8,250000,0,Shiawassee
46.8,7/18/77,2,41°59'N / 84°36'W,41°58'N / 84°30'W,4.7,33,0,0,25000,0,Hillsdale
25.3,4/2/77,2,42°34'N / 84°02'W,42°37'N / 83°56'W,5.6,83,0,1,250000,0,Livingston
32.7,4/2/77,2,42°31'N / 84°17'W,,1.5,57,0,0,25000,0,Ingham
46.2,4/21/76,2,42°48'N / 84°16'W,42°51'N / 84°14'W,3,83,0,1,2500000,0,Shiawassee
25.4,3/20/76,4,42°31'N / 83°25'W,42°33'N / 83°20'W,3.8,117,1,55,25000000,0,Oakland
27.3,3/12/76,2,42°11'N / 84°15'W,,2,90,0,0,250000,0,Jackson
40.9,3/12/76,2,42°04'N / 84°30'W,42°05'N / 84°28'W,,,0,0,250000,0,Jackson
44.1,3/12/76,2,42°03'N / 84°35'W,42°04'N / 84°30'W,3.6,133,0,0,250000,0,Hillsdale
44.7,3/12/76,2,41°49'N / 84°22'W,41°50'N / 84°21'W,,,0,0,250000,0,Lenawee
46.5,3/12/76,2,41°48'N / 84°24'W,41°49'N / 84°22'W,,,0,0,250000,0,Hillsdale
40.7,8/29/75,2,42°49'N / 84°03'W,,1.5,83,0,0,25000,0,Shiawassee
10.1,5/25/75,2,42°10'N / 83°36'W,,,,0,1,25000,0,Washtenaw
15.3,7/14/74,2,42°21'N / 83°27'W,,1.5,27,0,0,250000,0,Wayne
46.7,6/15/74,2,42°39'N / 82°58'W,,2,20,0,0,25000,0,Macomb
16.8,5/11/74,3,42°25'N / 84°00'W,,0.9,60,1,0,250000,0,Livingston
29.8,4/3/74,2,42°02'N / 83°15'W,,2,30,0,0,3000,0,Monroe
34.6,4/3/74,3,41°48'N / 83°31'W,,0.3,30,0,3,250000,0,Monroe
35.5,4/3/74,2,42°05'N / 84°24'W,42°07'N / 84°22'W,1.3,440,0,0,25000,0,Jackson
43.5,4/3/74,2,41°47'N / 84°20'W,41°50'N / 84°16'W,4.3,33,0,0,0,0,Lenawee
44.6,4/3/74,2,41°50'N / 84°23'W,41°51'N / 84°22'W,,,0,3,25000,0,Lenawee
44.9,4/3/74,2,41°55'N / 84°39'W,42°05'N / 84°24'W,17,440,2,31,2500000,0,Hillsdale
47.9,4/3/74,2,41°45'N / 84°25'W,41°50'N / 84°23'W,5.4,167,0,2,25000,0,Hillsdale
49.1,4/3/74,2,41°43'N / 84°25'W,41°47'N / 84°20'W,5.6,33,0,5,0,0,Hillsdale
18.8,2/28/74,2,42°06'N / 83°27'W,,0.1,50,0,0,0,0,Wayne
23,6/26/73,2,42°03'N / 83°24'W,,0.7,67,0,2,250000,0,Monroe
30.5,6/26/73,2,41°55'N / 83°23'W,,0.2,60,0,0,250000,0,Monroe
32.4,6/26/73,2,42°32'N / 83°12'W,,,,0,0,3000,0,Oakland
21,8/2/72,2,42°29'N / 84°05'W,42°31'N / 83°56'W,7.4,27,0,0,25000,0,Livingston
22.8,8/2/72,3,42°32'N / 83°29'W,42°33'N / 83°27'W,,,0,0,2500000,0,Oakland
32.1,7/5/71,2,42°43'N / 83°56'W,,0.3,100,0,0,25000,0,Livingston
3,6/7/71,2,42°19'N / 83°45'W,,0.1,33,0,0,25000,0,Washtenaw
14.1,7/4/69,3,42°07'N / 83°35'W,42°07'N / 83°32'W,1.3,100,0,4,2500000,0,Washtenaw
20.2,7/4/69,3,42°07'N / 83°32'W,42°06'N / 83°17'W,12.6,100,0,50,2500000,0,Wayne
47.7,7/4/69,2,41°59'N / 84°42'W,41°52'N / 84°22'W,18.7,100,0,0,250000,0,Hillsdale
29.3,9/9/68,2,41°54'N / 83°28'W,,0.9,20,0,0,25000,0,Monroe
10.3,8/16/68,2,42°25'N / 83°48'W,,1,20,0,0,25000,0,Livingston
28.1,3/26/68,2,41°59'N / 83°27'W,41°57'N / 83°18'W,7.7,20,0,0,250000,0,Monroe
16.3,6/14/66,2,42°14'N / 83°25'W,,0.3,33,0,0,3000,0,Wayne
16.3,4/11/65,4,42°00'N / 83°55'W,42°05'N / 83°28'W,23.6,1760,6,5,2500000,0,Monroe
16.3,4/11/65,4,42°00'N / 83°55'W,42°05'N / 83°28'W,23.6,33,5,5,0,0,Monroe
29.5,4/11/65,4,41°57'N / 84°22'W,42°00'N / 83°55'W,23.2,1760,5,42,25000000,0,Lenawee
29.5,4/11/65,4,41°57'N / 84°22'W,42°00'N / 83°55'W,23.2,33,4,41,0,0,Lenawee
40.1,4/11/65,4,41°43'N / 83°30'W,41°44'N / 83°28'W,,,2,29,2500000,0,Monroe
41.4,4/11/65,4,41°40'N / 83°36'W,41°43'N / 83°30'W,5.6,200,16,207,25000000,0,Lucas
29.3,8/22/64,3,42°00'N / 84°10'W,,,,0,2,25000,0,Lenawee
45,8/22/64,2,41°46'N / 84°26'W,41°53'N / 84°18'W,10.3,100,0,1,25000,0,Hillsdale
35.6,5/8/64,2,41°48'N / 83°27'W,41°50'N / 83°23'W,3.3,400,0,1,25000,0,Monroe
36.2,5/8/64,2,42°41'N / 83°17'W,,,,0,1,25000,0,Oakland
32.1,4/17/63,3,41°55'N / 83°20'W,,0.5,67,0,1,250000,0,Monroe
12.7,4/30/62,2,42°09'N / 83°33'W,,0.1,33,0,0,25000,0,Washtenaw
27.8,6/15/60,2,42°15'N / 84°20'W,42°15'N / 84°13'W,5.6,33,0,0,25000,0,Jackson
33.3,11/20/57,3,42°24'N / 83°06'W,,1.5,100,1,12,250000,0,Wayne
16.8,7/4/57,4,42°31'N / 83°44'W,42°31'N / 83°39'W,3,50,0,4,250000,0,Livingston
24.3,7/4/57,4,42°31'N / 83°39'W,42°31'N / 83°07'W,26.9,50,0,2,250000,0,Oakland
17.9,5/12/56,2,42°33'N / 83°46'W,42°31'N / 83°37'W,7.4,100,0,5,250000,0,Livingston
17.9,5/12/56,2,42°31'N / 83°37'W,42°31'N / 83°35'W,,,0,0,250000,0,Oakland
18.2,5/12/56,2,42°32'N / 83°40'W,42°31'N / 83°34'W,4.5,100,0,0,250000,0,Oakland
18.4,5/12/56,2,42°33'N / 83°45'W,42°32'N / 83°40'W,3.3,100,0,5,250000,0,Livingston
29.9,5/12/56,4,42°15'N / 83°13'W,42°13'N / 83°05'W,6.8,400,0,22,250000,0,Wayne
49.2,5/12/56,4,43°00'N / 83°41'W,42°58'N / 83°33'W,6.6,100,3,116,2500000,0,Genesee
28.9,8/6/55,2,42°06'N / 84°20'W,42°09'N / 84°11'W,7.9,300,0,0,3000,0,Jackson
8.9,6/8/53,3,42°12'N / 84°00'W,42°15'N / 83°47'W,11.3,70,1,5,25000,0,Washtenaw
21.9,6/8/53,3,42°35'N / 83°42'W,42°36'N / 83°41'W,,,0,7,2500000,0,Livingston
26,6/8/53,3,42°36'N / 83°41'W,42°41'N / 83°32'W,9.1,200,0,4,2500000,0,Oakland
35.9,6/8/53,4,41°47'N / 83°34'W,41°47'N / 83°27'W,5.4,200,4,18,250000,0,Monroe
12.7,7/21/51,2,42°09'N / 83°33'W,,0.5,217,0,0,25000,0,Washtenaw
33.9,5/3/51,2,42°42'N / 84°03'W,42°44'N / 84°00'W,2.3,150,0,0,250000,0,Livingston